Date/Time	Latitude	Longitude	EsEs [m]	Snow thick [m]	EsEs unc [m]	Snow thick unc [m]	Dist rel atm/snow IF [m]	T atm/snow IF [°C]	Thermistor atm/snow IF	Dist rel snow/ice IF [m]	T snow/ice IF [°C]	Thermistor snow/ice IF	Dist rel ice/oce IF [m]	T ice/oce IF [°C]	Thermistor ice/oce IF
2019-10-05T06:00:16	85.0112	132.7750	1.440	0.140	0.04	0.06									
2019-10-05T12:00:16	85.0178	132.6771	1.440	0.144	0.04	0.04				0.0	-3.94	28	-1.44	-1.81	100
2019-10-05T18:00:16	85.0285	132.6927	1.440	0.147	0.08	0.06	0.14	-6.56	21	0.0	-4.25	28	-1.44	-1.81	100
2019-10-06T00:00:16	85.0297	132.7040	1.440	0.149	0.08	0.08	0.14	-5.94	21	0.0	-4.12	28	-1.44	-1.79	100
2019-10-06T06:00:16	85.0287	132.7621	1.440	0.150	0.08	0.08	0.14	-7.06	21	0.0	-4.06	28	-1.44	-1.75	100
2019-10-06T12:00:16	85.0242	132.7902	1.438	0.151	0.08	0.08	0.14	-6.75	21	0.0	-4.19	28	-1.44	-1.75	100
2019-10-06T18:00:16	85.0229	132.9043	1.436	0.152	0.08	0.06	0.16	-6.75	20	0.0	-4.12	28	-1.44	-1.81	100
2019-10-07T00:00:16	85.0138	133.0562	1.435	0.153	0.08	0.06	0.16	-7.12	20	0.0	-4.12	28	-1.44	-1.81	100
2019-10-07T06:00:17	85.0063	133.2707	1.432	0.157	0.08	0.08	0.16	-7.31	20	0.0	-4.25	28	-1.44	-1.81	100
2019-10-07T12:00:16	84.9922	133.5144	1.432	0.157	0.08	0.08	0.16	-8.19	20	0.0	-4.31	28	-1.44	-1.81	100
2019-10-07T18:00:16	84.9728	133.8790	1.430	0.160	0.08	0.08	0.16	-8.69	20	0.0	-4.75	28	-1.42	-1.81	99
2019-10-08T00:00:16	84.9532	134.3269	1.428	0.163	0.08	0.08	0.16	-5.81	20	0.0	-4.81	28	-1.42	-1.81	99
2019-10-08T06:00:16	84.9238	134.9094	1.427	0.167	0.08	0.08	0.16	-3.44	20	0.0	-3.94	28	-1.42	-1.81	99
2019-10-08T12:00:16	84.8854	135.1311	1.425	0.168	0.08	0.08	0.16	-4.19	20	0.0	-3.31	28	-1.42	-1.81	99
2019-10-08T18:00:16	84.8594	135.1147	1.423	0.170	0.08	0.06	0.18	-7.81	19	0.0	-3.69	28	-1.42	-1.81	99
2019-10-09T00:00:16	84.8379	135.0337	1.422	0.172	0.08	0.06	0.18	-8.25	19	0.0	-4.12	28	-1.42	-1.81	99
2019-10-09T06:00:16	84.8332	134.9236	1.420	0.173	0.08	0.08	0.18	-12.31	19	0.0	-4.50	28	-1.42	-1.81	99
2019-10-09T12:00:16	84.8270	134.8535	1.420	0.175	0.08	0.08	0.18	-11.81	19	0.0	-5.06	28	-1.42	-1.81	99
2019-10-09T18:00:16	84.8296	134.7980	1.420	0.177	0.08	0.08	0.18	-11.69	19	0.0	-5.19	28	-1.42	-1.81	99
2019-10-10T00:00:16	84.8346	134.6340	1.420	0.178	0.08	0.08	0.18	-12.62	19	0.0	-5.44	28	-1.42	-1.81	99
2019-10-10T06:00:16	84.8423	134.3717	1.420	0.180	0.08	0.08	0.18	-10.75	19	0.0	-5.44	28	-1.42	-1.81	99
2019-10-10T12:00:17	84.8365	134.2161	1.420	0.180	0.08	0.08	0.18	-12.00	19	0.0	-5.75	28	-1.42	-1.81	99
2019-10-10T18:00:16	84.8304	134.1944	1.420	0.180	0.08	0.08	0.18	-15.38	19	0.0	-6.25	28	-1.42	-1.81	99
2019-10-11T00:00:16	84.8116	134.3985	1.420	0.180	0.08	0.08	0.18	-16.69	19	0.0	-7.06	28	-1.42	-1.81	99
2019-10-11T06:00:16	84.7893	134.5255	1.420	0.180	0.08	0.08	0.18	-15.94	19	0.0	-7.81	28	-1.42	-1.81	99
2019-10-11T12:00:16	84.7634	134.6350	1.420	0.182	0.08	0.08	0.18	-12.94	19	0.0	-7.62	28	-1.42	-1.81	99
2019-10-11T18:00:16	84.7543	134.7511	1.420	0.183	0.08	0.08	0.18	-13.88	19	0.0	-6.88	28	-1.42	-1.81	99
2019-10-12T00:00:16	84.7516	134.8042	1.418	0.185	0.08	0.08	0.18	-10.50	19	0.0	-6.44	28	-1.42	-1.81	99
2019-10-12T06:00:16	84.7737	134.7993	1.417	0.187	0.08	0.08	0.18	-8.94	19	0.0	-5.75	28	-1.42	-1.81	99
2019-10-12T12:00:16	84.7811	134.6253	1.415	0.188	0.08	0.08	0.18	-14.75	19	0.0	-5.62	28	-1.42	-1.81	99
2019-10-12T18:00:16	84.7875	134.4132	1.413	0.190	0.08	0.06	0.20	-17.81	18	0.0	-6.31	28	-1.42	-1.81	99
2019-10-13T00:00:16	84.7825	134.1848	1.412	0.192	0.08	0.06	0.20	-15.00	18	0.0	-6.56	28	-1.42	-1.81	99
2019-10-13T06:00:16	84.7793	133.9750	1.410	0.193	0.08	0.08	0.20	-21.88	18	0.0	-7.44	28	-1.40	-1.81	98
2019-10-13T12:00:16	84.7683	133.7968	1.408	0.195	0.08	0.08	0.20	-26.25	18	0.0	-8.25	28	-1.40	-1.81	98
2019-10-13T18:00:16	84.7527	133.7967	1.407	0.198	0.06	0.08	0.20	-19.94	18	0.0	-9.31	28	-1.40	-1.81	98
2019-10-14T00:00:16	84.7253	133.6772	1.405	0.202	0.06	0.08	0.20	-15.88	18	0.0	-8.81	28	-1.40	-1.81	98
2019-10-14T06:00:16	84.7070	133.5501	1.403	0.205	0.08	0.08	0.20	-17.12	18	0.0	-8.50	28	-1.40	-1.81	98
2019-10-14T12:00:16	84.6897	133.4338	1.402	0.207	0.08	0.08	0.20	-19.00	18	0.0	-7.94	28	-1.40	-1.81	98
2019-10-14T18:00:16	84.6854	133.3909	1.400	0.208	0.08	0.08	0.20	-23.56	18	0.0	-8.12	28	-1.40	-1.81	98
2019-10-15T00:00:17	84.6818	133.3847	1.400	0.211	0.08	0.08	0.22	-25.38	17	0.0	-8.25	28	-1.40	-1.81	98
2019-10-15T06:00:16	84.6878	133.3596	1.400	0.210	0.08	0.08	0.22	-25.12	17	0.0	-8.50	28	-1.40	-1.81	98
2019-10-15T12:00:16	84.6875	133.2817	1.400	0.210	0.08	0.08	0.22	-25.38	17	0.0	-8.88	28	-1.40	-1.81	98
2019-10-15T18:00:17	84.6919	133.1832	1.400	0.211	0.08	0.06	0.22	-19.31	17	0.0	-8.88	28	-1.40	-1.81	98
2019-10-16T00:00:17	84.6887	132.9275	1.400	0.211	0.08	0.06	0.22	-16.00	17	0.0	-8.25	28	-1.40	-1.81	98
2019-10-16T06:00:17	84.6914	132.7021	1.400	0.211	0.08	0.08	0.22	-17.31	17	0.0	-7.94	28	-1.40	-1.81	98
2019-10-16T12:00:17	84.6861	132.4767	1.400	0.212	0.08	0.08	0.20	-14.81	18	0.0	-7.62	28	-1.40	-1.81	98
2019-10-16T18:00:17	84.6898	132.2806	1.400	0.211	0.08	0.08	0.20	-12.50	18	0.0	-7.12	28	-1.40	-1.81	98
2019-10-17T00:00:17	84.6838	132.1043	1.400	0.211	0.08	0.06	0.20	-11.44	18	0.0	-6.69	28	-1.40	-1.81	98
2019-10-17T06:00:17	84.6833	131.9505	1.400	0.212	0.08	0.06	0.20	-11.69	18	0.0	-6.31	28	-1.40	-1.81	98
2019-10-17T12:00:17	84.6784	131.9116	1.400	0.213	0.08	0.08	0.20	-12.69	18	0.0	-6.12	28	-1.40	-1.81	98
2019-10-17T18:00:17	84.6825	131.9519	1.400	0.215	0.08	0.08	0.22	-13.06	17	0.0	-6.00	28	-1.40	-1.81	98
2019-10-18T00:00:17	84.6919	132.0183	1.400	0.217	0.08	0.08	0.22	-13.25	17	0.0	-5.88	28	-1.40	-1.81	98
2019-10-18T06:00:17	84.7183	132.0868	1.400	0.220	0.08	0.08	0.22	-13.75	17	0.0	-5.94	28	-1.40	-1.81	98
2019-10-18T12:00:17	84.7447	132.1311	1.400	0.225	0.08	0.06	0.22	-13.69	17	0.0	-6.19	28	-1.40	-1.81	98
2019-10-18T18:00:17	84.7843	132.2005	1.400	0.228	0.08	0.06	0.24	-13.19	16	0.0	-6.31	28	-1.40	-1.81	98
2019-10-19T00:00:17	84.8175	132.2461	1.400	0.229	0.08	0.08	0.24	-12.94	16	0.0	-6.25	28	-1.40	-1.81	98
2019-10-19T06:00:17	84.8474	132.2456	1.400	0.231	0.08	0.08	0.24	-14.31	16	0.0	-6.12	28	-1.40	-1.81	98
